1,50,10,start
1,50,10,raw.profile.time,9594
1,50,10,coarse-grained.profile.time,45633
1,50,10,coarse-grained.profile.number,2151
1,50,10,coarse-grained.profile.size,14072
1,50,10,fine-grained.profile.time,4258191
1,50,10,fine-grained.profile.size,172320
1,50,10,fine-grained.profile.number,77962
1,50,10,fine-grained.preprocess.size,16442960
1,50,10,fine-grained.preprocess.time,19375
1,50,10,fine-grained.preprocess.number,208
1,50,10,fine-grained.preprocess.time_p,18567.0
1,50,10,fine-grained.mine.size,32176
1,50,10,fine-grained.mine.time,103
1,50,10,boost.includes,-sampler-include-method=-org.apache.commons.lang.time.FastDateFormat-Pair--int-hashCode---
1,50,10,boost.profile.number,34
1,50,10,boost.profile.time,29355
1,50,10,boost.profile.size,7192
1,50,10,boost.preprocess.size,465888
1,50,10,boost.preprocess.time,1539
1,50,10,boost.preprocess.number,10
1,50,10,boost.preprocess.time_p,1010.9999999999999
1,50,10,boost.mine.size,21296
1,50,10,boost.mine.time,40
1,50,10,prune.theta,0.005925
1,50,10,prune.includes,-sampler-include-method=-org.apache.commons.lang.time.FastDateFormat-Pair--int-hashCode--- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat-StringLiteral--int-estimateLength--- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat-TextField--int-estimateLength--- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat-PaddedNumberField--void--init--int,int-- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--org.apache.commons.lang.time.FastDateFormat-getInstance-java.lang.String,java.util.TimeZone,java.util.Locale-- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--void--init--java.lang.String,java.util.TimeZone,java.util.Locale-- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--void-init--- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--java.util.List-parsePattern--- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--int-hashCode--- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--java.lang.String-parseToken-java.lang.String,int[]--
1,50,10,prune.includes_diff,-sampler-include-method=-org.apache.commons.lang.time.FastDateFormat-StringLiteral--int-estimateLength--- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat-TextField--int-estimateLength--- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat-PaddedNumberField--void--init--int,int-- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--org.apache.commons.lang.time.FastDateFormat-getInstance-java.lang.String,java.util.TimeZone,java.util.Locale-- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--void--init--java.lang.String,java.util.TimeZone,java.util.Locale-- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--void-init--- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--java.util.List-parsePattern--- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--int-hashCode--- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--java.lang.String-parseToken-java.lang.String,int[]--
1,50,10,prune_s.profile.number,592
1,50,10,prune_s.profile.time,29462
1,50,10,prune_s.profile.size,7192
1,50,10,prune.profile.number,626
1,50,10,prune.profile.time,33172
1,50,10,prune.profile.size,7196
1,50,10,prune.preprocess.size,1904912
1,50,10,prune.preprocess.time,2307
1,50,10,prune.preprocess.number,181
1,50,10,prune.preprocess.time_p,1672.0
1,50,10,prune.mine.size,28144
1,50,10,prune.mine.time,43
1,50,10,end
