1,56,10,start
1,56,10,raw.profile.time,9030
1,56,10,coarse-grained.profile.time,66117
1,56,10,coarse-grained.profile.number,2036
1,56,10,coarse-grained.profile.size,13056
1,56,10,fine-grained.profile.time,3985936
1,56,10,fine-grained.profile.size,159976
1,56,10,fine-grained.profile.number,77084
1,56,10,fine-grained.preprocess.size,11238880
1,56,10,fine-grained.preprocess.time,17614
1,56,10,fine-grained.preprocess.number,93
1,56,10,fine-grained.preprocess.time_p,16846.0
1,56,10,fine-grained.mine.size,27104
1,56,10,fine-grained.mine.time,53
1,56,10,boost.includes,-sampler-include-method=-org.apache.commons.lang.exception.ExceptionUtils--void--clinit----
1,56,10,boost.profile.number,6
1,56,10,boost.profile.time,27218
1,56,10,boost.profile.size,6664
1,56,10,boost.preprocess.size,360400
1,56,10,boost.preprocess.time,1260
1,56,10,boost.preprocess.number,3
1,56,10,boost.preprocess.time_p,650.0
1,56,10,boost.mine.size,21056
1,56,10,boost.mine.time,59
1,56,10,prune.theta,0.006314
1,56,10,prune.includes,-sampler-include-method=-org.apache.commons.lang.exception.ExceptionUtils--void--clinit---- -sampler-include-method=-org.apache.commons.lang.exception.ExceptionUtils--boolean-isThrowableNested--- -sampler-include-method=-org.apache.commons.lang.exception.NestableDelegate--void-printStackTrace-java.io.PrintWriter-- -sampler-include-method=-org.apache.commons.lang.exception.NestableRuntimeException--java.lang.String-getMessage--- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--boolean-equals-java.lang.Object-- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--org.apache.commons.lang.time.FastDateFormat-getInstance-java.lang.String,java.util.TimeZone,java.util.Locale-- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--void--init--java.lang.String,java.util.TimeZone,java.util.Locale-- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--int-hashCode--- -sampler-include-method=-org.apache.commons.lang.SerializationUtils--void-serialize-java.io.Serializable,java.io.OutputStream-- -sampler-include-method=-org.apache.commons.lang.exception.NestableDelegate--void--init--org.apache.commons.lang.exception.Nestable--
1,56,10,prune.includes_diff,-sampler-include-method=-org.apache.commons.lang.exception.ExceptionUtils--boolean-isThrowableNested--- -sampler-include-method=-org.apache.commons.lang.exception.NestableDelegate--void-printStackTrace-java.io.PrintWriter-- -sampler-include-method=-org.apache.commons.lang.exception.NestableRuntimeException--java.lang.String-getMessage--- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--boolean-equals-java.lang.Object-- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--org.apache.commons.lang.time.FastDateFormat-getInstance-java.lang.String,java.util.TimeZone,java.util.Locale-- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--void--init--java.lang.String,java.util.TimeZone,java.util.Locale-- -sampler-include-method=-org.apache.commons.lang.time.FastDateFormat--int-hashCode--- -sampler-include-method=-org.apache.commons.lang.SerializationUtils--void-serialize-java.io.Serializable,java.io.OutputStream-- -sampler-include-method=-org.apache.commons.lang.exception.NestableDelegate--void--init--org.apache.commons.lang.exception.Nestable--
1,56,10,prune_s.profile.number,394
1,56,10,prune_s.profile.time,22232
1,56,10,prune_s.profile.size,6668
1,56,10,prune.profile.number,400
1,56,10,prune.profile.time,29233
1,56,10,prune.profile.size,6668
1,56,10,prune.preprocess.size,1154992
1,56,10,prune.preprocess.time,2262
1,56,10,prune.preprocess.number,93
1,56,10,prune.preprocess.time_p,1701.0
1,56,10,prune.mine.size,26480
1,56,10,prune.mine.time,87
1,56,10,end
