3,85,5,start
3,85,5,raw.profile.time,201
3,85,5,coarse-grained.profile.time,2453
3,85,5,coarse-grained.profile.number,3862
3,85,5,coarse-grained.profile.size,1124
3,85,5,fine-grained.profile.time,30868
3,85,5,fine-grained.profile.size,69220
3,85,5,fine-grained.profile.number,647632
3,85,5,fine-grained.preprocess.size,4951136
3,85,5,fine-grained.preprocess.time,8412
3,85,5,fine-grained.preprocess.number,743
3,85,5,fine-grained.preprocess.time_p,7788.0
3,85,5,fine-grained.mine.size,47056
3,85,5,fine-grained.mine.time,801
3,85,5,boost.includes,-sampler-include-method=-org.apache.commons.math.MathException--void--init--java.lang.String,java.lang.Object[]-- -sampler-include-method=-org.apache.commons.math.MathException--java.lang.String-buildMessage-java.util.Locale,java.lang.String,java.lang.Object[]-- -sampler-include-method=-org.apache.commons.math.MathException--java.lang.String-translate-java.lang.String,java.util.Locale-- -sampler-include-method=-org.apache.commons.math.distribution.NormalDistributionImpl--double-getDomainLowerBound-double-- -sampler-include-method=-org.apache.commons.math.distribution.NormalDistributionImpl--double-getDomainUpperBound-double--
3,85,5,boost.profile.number,40
3,85,5,boost.profile.time,898
3,85,5,boost.profile.size,388
3,85,5,boost.preprocess.size,164288
3,85,5,boost.preprocess.time,684
3,85,5,boost.preprocess.number,7
3,85,5,boost.preprocess.time_p,179.0
3,85,5,boost.mine.size,19808
3,85,5,boost.mine.time,52
3,85,5,prune.theta,0.064765
3,85,5,prune.includes,-sampler-include-method=-org.apache.commons.math.MathException--void--init--java.lang.String,java.lang.Object[]-- -sampler-include-method=-org.apache.commons.math.MathException--java.lang.String-buildMessage-java.util.Locale,java.lang.String,java.lang.Object[]-- -sampler-include-method=-org.apache.commons.math.MathException--java.lang.String-translate-java.lang.String,java.util.Locale-- -sampler-include-method=-org.apache.commons.math.distribution.NormalDistributionImpl--double-getDomainLowerBound-double-- -sampler-include-method=-org.apache.commons.math.distribution.NormalDistributionImpl--double-getDomainUpperBound-double-- -sampler-include-method=-org.apache.commons.math.distribution.NormalDistributionImpl--double-getInitialDomain-double-- -sampler-include-method=-org.apache.commons.math.distribution.NormalDistributionImpl--double-inverseCumulativeProbability-double-- -sampler-include-method=-org.apache.commons.math.special.Erf--double-erf-double-- -sampler-include-method=-org.apache.commons.math.distribution.NormalDistributionImpl--double-cumulativeProbability-double-- -sampler-include-method=-org.apache.commons.math.distribution.NormalDistributionImpl--void-setStandardDeviation-double-- -sampler-include-method=-org.apache.commons.math.distribution.AbstractContinuousDistribution-1--double-value-double-- -sampler-include-method=-org.apache.commons.math.special.Gamma--double-regularizedGammaP-double,double,double,int-- -sampler-include-method=-org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils--double[]-bracket-org.apache.commons.math.analysis.UnivariateRealFunction,double,double,double,int-- -sampler-include-method=-org.apache.commons.math.distribution.AbstractContinuousDistribution--double-inverseCumulativeProbability-double-- -sampler-include-method=-org.apache.commons.math.special.Gamma--double-logGamma-double--
3,85,5,prune.includes_diff,-sampler-include-method=-org.apache.commons.math.distribution.NormalDistributionImpl--double-getInitialDomain-double-- -sampler-include-method=-org.apache.commons.math.distribution.NormalDistributionImpl--double-inverseCumulativeProbability-double-- -sampler-include-method=-org.apache.commons.math.special.Erf--double-erf-double-- -sampler-include-method=-org.apache.commons.math.distribution.NormalDistributionImpl--double-cumulativeProbability-double-- -sampler-include-method=-org.apache.commons.math.distribution.NormalDistributionImpl--void-setStandardDeviation-double-- -sampler-include-method=-org.apache.commons.math.distribution.AbstractContinuousDistribution-1--double-value-double-- -sampler-include-method=-org.apache.commons.math.special.Gamma--double-regularizedGammaP-double,double,double,int-- -sampler-include-method=-org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils--double[]-bracket-org.apache.commons.math.analysis.UnivariateRealFunction,double,double,double,int-- -sampler-include-method=-org.apache.commons.math.distribution.AbstractContinuousDistribution--double-inverseCumulativeProbability-double-- -sampler-include-method=-org.apache.commons.math.special.Gamma--double-logGamma-double--
3,85,5,prune_s.profile.number,2854
3,85,5,prune_s.profile.time,6303
3,85,5,prune_s.profile.size,448
3,85,5,prune.profile.number,2894
3,85,5,prune.profile.time,7825
3,85,5,prune.profile.size,452
3,85,5,prune.preprocess.size,572336
3,85,5,prune.preprocess.time,1372
3,85,5,prune.preprocess.number,743
3,85,5,prune.preprocess.time_p,783.0
3,85,5,prune.mine.size,47424
3,85,5,prune.mine.time,715
3,85,5,end
