4,7,1,start
4,7,1,raw.profile.time,6062
4,7,1,coarse-grained.profile.time,149021
4,7,1,coarse-grained.profile.number,3880
4,7,1,coarse-grained.profile.size,48444
4,7,1,fine-grained.profile.time,1619979
4,7,1,fine-grained.profile.size,462472
4,7,1,fine-grained.profile.number,93986
4,7,1,fine-grained.preprocess.size,42051248
4,7,1,fine-grained.preprocess.time,68563
4,7,1,fine-grained.preprocess.number,1735
4,7,1,fine-grained.preprocess.time_p,67106.0
4,7,1,fine-grained.mine.size,384704
4,7,1,fine-grained.mine.time,13779
4,7,1,boost.includes,-sampler-include-method=-org.joda.time.IllegalFieldValueException--void-prependMessage-java.lang.String--
4,7,1,boost.profile.number,4
4,7,1,boost.profile.time,33099
4,7,1,boost.profile.size,16604
4,7,1,boost.preprocess.size,675264
4,7,1,boost.preprocess.time,3394
4,7,1,boost.preprocess.number,2
4,7,1,boost.preprocess.time_p,2799.0
4,7,1,boost.mine.size,23376
4,7,1,boost.mine.time,35
4,7,1,prune.theta,0.006232
4,7,1,prune.includes,
4,7,1,prune.includes_diff,
4,7,1,end
