space,11_-,5,start
space,11_-,5,fine-grained.preprocess.size,2010600
space,11_-,5,fine-grained.preprocess.time,183599
space,11_-,5,fine-grained.preprocess.number,6988 
space,11_-,5,fine-grained.preprocess.time_p,183317.0
space,11_-,5,fine-grained.mine.size,5796
space,11_-,5,fine-grained.mine.time,43975
space,11_-,5,boost,0.05
space,11_-,5,boost.functions.count,10
space,11_-,5,boost.includes,-sampler-include-method=addscan -sampler-include-method=fixgramp -sampler-include-method=fixgrpha -sampler-include-method=fixnodor -sampler-include-method=grwrite -sampler-include-method=mksnode -sampler-include-method=nodorien -sampler-include-method=simamp -sampler-include-method=simpha -sampler-include-method=simpol
space,11_-,5,boost.preprocess.size,712680
space,11_-,5,boost.preprocess.time,2642
space,11_-,5,boost.preprocess.number,510 
space,11_-,5,boost.preprocess.time_p,2450.0
space,11_-,5,boost.mine.size,5824
space,11_-,5,boost.mine.time,1954
space,11_-,5,theta,0.469235
space,11_-,5,prune.functions.count,58
space,11_-,5,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=addscan -sampler-include-method=adremdef -sampler-include-method=ampunit -sampler-include-method=ampval -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=fixgramp -sampler-include-method=fixgrpha -sampler-include-method=fixnodor -sampler-include-method=fixport -sampler-include-method=fixselem -sampler-include-method=fixsgrel -sampler-include-method=fixsgrid -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=grphaexc -sampler-include-method=grwrite -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=main -sampler-include-method=mksnode -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nodorien -sampler-include-method=nomefile -sampler-include-method=polspec -sampler-include-method=portspec -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=simamp -sampler-include-method=simgroup -sampler-include-method=simpha -sampler-include-method=simpol -sampler-include-method=sinelem -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp -sampler-include-method=unifpha
space,11_-,5,prune.preprocess.size,1687092
space,11_-,5,prune.preprocess.time,70189
space,11_-,5,prune.preprocess.number,4433 
space,11_-,5,prune.preprocess.time_p,69843.0
space,11_-,5,prune.mine.size,5840
space,11_-,5,prune.mine.time,47840
space,11_-,5,boost.profile.time,10506
space,11_-,5,boost.profile.size,15012
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v11/v11_b.sites
space,11_-,5,boost.profile.number,9550
space,11_-,5,prune-minus-boost.profile.time,39394
space,11_-,5,prune-minus-boost.profile.size,195012
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v11/v11_pmb.sites
space,11_-,5,prune-minus-boost.profile.number,153008
space,11_-,5,end
