space,17_-,1,start
space,17_-,1,coarse-grained.profile.time,7679
space,17_-,1,coarse-grained.profile.size,5040
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v17/v17_c.sites
space,17_-,1,coarse-grained.profile.number,136
space,17_-,1,fine-grained.profile.time,78670
space,17_-,1,fine-grained.profile.size,569408
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v17/v17_f.sites
space,17_-,1,fine-grained.profile.number,459134
space,17_-,1,fine-grained.preprocess.size,1974452
space,17_-,1,fine-grained.preprocess.time,162722
space,17_-,1,fine-grained.preprocess.number,8175 
space,17_-,1,fine-grained.preprocess.time_p,162475.0
space,17_-,1,fine-grained.mine.size,5868
space,17_-,1,fine-grained.mine.time,67231
space,17_-,1,boost,0.05
space,17_-,1,boost.functions.count,13
space,17_-,1,boost.includes,-sampler-include-method=fixgramp -sampler-include-method=fixgrpha -sampler-include-method=grwrite -sampler-include-method=intmax -sampler-include-method=intmin -sampler-include-method=linpol -sampler-include-method=mksblock -sampler-include-method=polor -sampler-include-method=sgrampun -sampler-include-method=sgrphaun -sampler-include-method=simamp -sampler-include-method=simpha -sampler-include-method=simpol
space,17_-,1,boost.preprocess.size,728004
space,17_-,1,boost.preprocess.time,2759
space,17_-,1,boost.preprocess.number,617 
space,17_-,1,boost.preprocess.time_p,2562.0
space,17_-,1,boost.mine.size,5824
space,17_-,1,boost.mine.time,2877
space,17_-,1,theta,0.293518
space,17_-,1,prune.functions.count,61
space,17_-,1,prune.includes,-sampler-include-method=Get1Real -sampler-include-method=GetInt -sampler-include-method=GetKeyword -sampler-include-method=GetReal -sampler-include-method=GetUName -sampler-include-method=InKWords -sampler-include-method=InUNames -sampler-include-method=InserUN -sampler-include-method=TapeGet -sampler-include-method=adddef -sampler-include-method=addscan -sampler-include-method=adremdef -sampler-include-method=ampunit -sampler-include-method=ampval -sampler-include-method=angunit -sampler-include-method=angval -sampler-include-method=blockdef -sampler-include-method=elemdef -sampler-include-method=emsginit -sampler-include-method=fixgramp -sampler-include-method=fixgrpha -sampler-include-method=fixport -sampler-include-method=fixselem -sampler-include-method=fixsgrel -sampler-include-method=fixsgrid -sampler-include-method=floatsup -sampler-include-method=geomspec -sampler-include-method=grampexc -sampler-include-method=greldef -sampler-include-method=grexcdef -sampler-include-method=grgeodef -sampler-include-method=griddef1 -sampler-include-method=groupdef -sampler-include-method=grphaexc -sampler-include-method=grwrite -sampler-include-method=isletter -sampler-include-method=kwdsinit -sampler-include-method=lenunit -sampler-include-method=linpol -sampler-include-method=main -sampler-include-method=moseinit -sampler-include-method=nodecoor -sampler-include-method=nodedef -sampler-include-method=nomefile -sampler-include-method=polor -sampler-include-method=polspec -sampler-include-method=portspec -sampler-include-method=prnfile -sampler-include-method=readfil3 -sampler-include-method=recspec -sampler-include-method=remdef -sampler-include-method=sgrampun -sampler-include-method=simamp -sampler-include-method=simgroup -sampler-include-method=simpha -sampler-include-method=simpol -sampler-include-method=sinelem -sampler-include-method=squgrdef -sampler-include-method=unaminit -sampler-include-method=unifamp -sampler-include-method=unifpha
space,17_-,1,prune.preprocess.size,1664296
space,17_-,1,prune.preprocess.time,50082
space,17_-,1,prune.preprocess.number,3841 
space,17_-,1,prune.preprocess.time_p,49853.0
space,17_-,1,prune.mine.size,5816
space,17_-,1,prune.mine.time,51098
space,17_-,1,boost.profile.time,9561
space,17_-,1,boost.profile.size,10032
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v17/v17_b.sites
space,17_-,1,boost.profile.number,6596
space,17_-,1,prune-minus-boost.profile.time,37529
space,17_-,1,prune-minus-boost.profile.size,221128
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/space/versions/v17/v17_pmb.sites
space,17_-,1,prune-minus-boost.profile.number,174488
space,17_-,1,end
