gzip,2_3,5,start
gzip,2_3,5,fine-grained.preprocess.size,2681244
gzip,2_3,5,fine-grained.preprocess.time,148776
gzip,2_3,5,fine-grained.preprocess.number,42282 
gzip,2_3,5,fine-grained.preprocess.time_p,148460.0
gzip,2_3,5,fine-grained.mine.size,5808
gzip,2_3,5,fine-grained.mine.time,485399
gzip,2_3,5,boost,0.05
gzip,2_3,5,boost.functions.count,14
gzip,2_3,5,boost.includes,-sampler-include-method=check_ofname -sampler-include-method=copy_stat -sampler-include-method=create_outfile -sampler-include-method=do_stat -sampler-include-method=exchange -sampler-include-method=get_istat -sampler-include-method=get_suffix -sampler-include-method=make_ofname -sampler-include-method=name_too_long -sampler-include-method=reset_times -sampler-include-method=send_all_trees -sampler-include-method=send_tree -sampler-include-method=strlwr -sampler-include-method=treat_file
gzip,2_3,5,boost.preprocess.size,1120032
gzip,2_3,5,boost.preprocess.time,4030
gzip,2_3,5,boost.preprocess.number,913 
gzip,2_3,5,boost.preprocess.time_p,3809.0
gzip,2_3,5,boost.mine.size,5860
gzip,2_3,5,boost.mine.time,3227
gzip,2_3,5,theta,0.308943
gzip,2_3,5,prune.functions.count,36
gzip,2_3,5,prune.includes,-sampler-include-method=_getopt_internal -sampler-include-method=add_envopt -sampler-include-method=basename -sampler-include-method=bi_init -sampler-include-method=bi_reverse -sampler-include-method=bi_windup -sampler-include-method=build_bl_tree -sampler-include-method=build_tree -sampler-include-method=clear_bufs -sampler-include-method=compress_block -sampler-include-method=ct_init -sampler-include-method=ct_tally -sampler-include-method=deflate -sampler-include-method=do_exit -sampler-include-method=do_stat -sampler-include-method=file_read -sampler-include-method=fill_window -sampler-include-method=flush_block -sampler-include-method=flush_outbuf -sampler-include-method=gen_bitlen -sampler-include-method=gen_codes -sampler-include-method=get_istat -sampler-include-method=getopt_long -sampler-include-method=init_block -sampler-include-method=lm_init -sampler-include-method=longest_match -sampler-include-method=main -sampler-include-method=pqdownheap -sampler-include-method=scan_tree -sampler-include-method=send_all_trees -sampler-include-method=send_bits -sampler-include-method=send_tree -sampler-include-method=treat_file -sampler-include-method=updcrc -sampler-include-method=write_buf -sampler-include-method=zip
gzip,2_3,5,prune.preprocess.size,1905916
gzip,2_3,5,prune.preprocess.time,103680
gzip,2_3,5,prune.preprocess.number,41336 
gzip,2_3,5,prune.preprocess.time_p,103394.0
gzip,2_3,5,prune.mine.size,5840
gzip,2_3,5,prune.mine.time,435858
gzip,2_3,5,boost.profile.time,20494
gzip,2_3,5,boost.profile.size,54090
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v2/subv3/v2_subv3_b.sites
gzip,2_3,5,boost.profile.number,248164
gzip,2_3,5,prune.profile.time,612736
gzip,2_3,5,prune.profile.size,366108
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v2/subv3/v2_subv3_p.sites
gzip,2_3,5,prune.profile.number,1565656
gzip,2_3,5,prune-minus-boost.profile.time,591921
gzip,2_3,5,prune-minus-boost.profile.size,329947
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v2/subv3/v2_subv3_pmb.sites
gzip,2_3,5,prune-minus-boost.profile.number,1403940
gzip,2_3,5,end
