2,24,1,start
2,24,1,raw.profile.time,42817
2,24,1,coarse-grained.profile.time,215122
2,24,1,coarse-grained.profile.number,7169
2,24,1,coarse-grained.profile.size,39080
2,24,1,fine-grained.profile.time,2422085
2,24,1,fine-grained.profile.size,1035200
2,24,1,fine-grained.profile.number,96215
2,24,1,fine-grained.preprocess.size,44088800
2,24,1,fine-grained.preprocess.time,218871
2,24,1,fine-grained.preprocess.number,107
2,24,1,fine-grained.preprocess.time_p,216494.0
2,24,1,fine-grained.mine.size,22928
2,24,1,fine-grained.mine.time,55
2,24,1,boost.includes,-sampler-include-method=-org.jfree.chart.renderer.GrayPaintScale--java.awt.Paint-getPaint-double--
2,24,1,boost.profile.number,46
2,24,1,boost.profile.time,48068
2,24,1,boost.profile.size,6740
2,24,1,boost.preprocess.size,1032768
2,24,1,boost.preprocess.time,3575
2,24,1,boost.preprocess.number,106
2,24,1,boost.preprocess.time_p,2824.0
2,24,1,boost.mine.size,21248
2,24,1,boost.mine.time,94
2,24,1,prune.theta,0.007484
2,24,1,prune.includes,
2,24,1,prune.includes_diff,
2,24,1,end
