1,17,10,start
1,17,10,raw.profile.time,22552
1,17,10,coarse-grained.profile.time,37355
1,17,10,coarse-grained.profile.number,2297
1,17,10,coarse-grained.profile.size,15580
1,17,10,fine-grained.profile.time,270050
1,17,10,fine-grained.profile.size,205884
1,17,10,fine-grained.profile.number,16470
1,17,10,fine-grained.preprocess.size,17830272
1,17,10,fine-grained.preprocess.time,60735
1,17,10,fine-grained.preprocess.number,95
1,17,10,fine-grained.preprocess.time_p,58639.0
1,17,10,fine-grained.mine.size,23968
1,17,10,fine-grained.mine.time,132
1,17,10,boost.includes,-sampler-include-method=-org.apache.commons.lang3.text.translate.AggregateTranslator--int-translate-java.lang.CharSequence,int,java.io.Writer--
1,17,10,boost.profile.number,1
1,17,10,boost.profile.time,24550
1,17,10,boost.profile.size,7968
1,17,10,boost.preprocess.size,581248
1,17,10,boost.preprocess.time,3245
1,17,10,boost.preprocess.number,14
1,17,10,boost.preprocess.time_p,2507.0
1,17,10,boost.mine.size,21328
1,17,10,boost.mine.time,92
1,17,10,prune.theta,0.003647
1,17,10,prune.includes,-sampler-include-method=-org.apache.commons.lang3.text.translate.AggregateTranslator--int-translate-java.lang.CharSequence,int,java.io.Writer-- -sampler-include-method=-org.apache.commons.lang3.text.translate.LookupTranslator--int-translate-java.lang.CharSequence,int,java.io.Writer-- -sampler-include-method=-org.apache.commons.lang3.text.translate.CharSequenceTranslator--java.lang.String-translate-java.lang.CharSequence-- -sampler-include-method=-org.apache.commons.lang3.text.translate.CharSequenceTranslator--void-translate-java.lang.CharSequence,java.io.Writer--
1,17,10,prune.includes_diff,-sampler-include-method=-org.apache.commons.lang3.text.translate.LookupTranslator--int-translate-java.lang.CharSequence,int,java.io.Writer-- -sampler-include-method=-org.apache.commons.lang3.text.translate.CharSequenceTranslator--java.lang.String-translate-java.lang.CharSequence-- -sampler-include-method=-org.apache.commons.lang3.text.translate.CharSequenceTranslator--void-translate-java.lang.CharSequence,java.io.Writer--
1,17,10,prune_s.profile.number,81
1,17,10,prune_s.profile.time,26230
1,17,10,prune_s.profile.size,7964
1,17,10,prune.profile.number,90
1,17,10,prune.profile.time,34226
1,17,10,prune.profile.size,7964
1,17,10,prune.preprocess.size,2265984
1,17,10,prune.preprocess.time,6229
1,17,10,prune.preprocess.number,95
1,17,10,prune.preprocess.time_p,5325.0
1,17,10,prune.mine.size,24768
1,17,10,prune.mine.time,133
1,17,10,end
