sed,3_5,10,start
sed,3_5,10,fine-grained.preprocess.size,1592380
sed,3_5,10,fine-grained.preprocess.time,26449
sed,3_5,10,fine-grained.preprocess.number,6807 
sed,3_5,10,fine-grained.preprocess.time_p,26260.0
sed,3_5,10,fine-grained.mine.size,5904
sed,3_5,10,fine-grained.mine.time,13651
sed,3_5,10,boost,0.05
sed,3_5,10,boost.functions.count,4 /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/sed/versions/v3/subv5/predicate-dataset/boost/boost_functions_2_0.05.txt
sed,3_5,10,prune-minus-boost.includes,-sampler-include-method=ck_fflush -sampler-include-method=compile_filename -sampler-include-method=do_subst -sampler-include-method=mark_subst_opts
sed,3_5,10,boost.preprocess.size,197208
sed,3_5,10,boost.preprocess.time,1007
sed,3_5,10,boost.preprocess.number,826 
sed,3_5,10,boost.preprocess.time_p,897.0
sed,3_5,10,boost.mine.size,5804
sed,3_5,10,boost.mine.time,1164
sed,3_5,10,theta,0.558912
sed,3_5,10,prune.functions.count,50 /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/sed/versions/v3/subv5/predicate-dataset/prune/prune_functions_2_0.05.txt
sed,3_5,10,prune-minus-boost.includes,-sampler-include-method=add1_buffer -sampler-include-method=check_final_program -sampler-include-method=ck_fclose -sampler-include-method=ck_fflush -sampler-include-method=ck_fopen -sampler-include-method=ck_free -sampler-include-method=ck_fwrite -sampler-include-method=ck_malloc -sampler-include-method=ck_memdup -sampler-include-method=ck_realloc -sampler-include-method=ck_strdup -sampler-include-method=close_all_files -sampler-include-method=closedown -sampler-include-method=compile_address -sampler-include-method=compile_file -sampler-include-method=compile_filename -sampler-include-method=compile_program -sampler-include-method=compile_regex -sampler-include-method=do_subst -sampler-include-method=dump_append_queue -sampler-include-method=execute_program -sampler-include-method=free_buffer -sampler-include-method=in_nonblank -sampler-include-method=inchar -sampler-include-method=init_buffer -sampler-include-method=init_syntax_once -sampler-include-method=line_init -sampler-include-method=main -sampler-include-method=map_file -sampler-include-method=mark_subst_opts -sampler-include-method=match_address_p -sampler-include-method=match_an_address_p -sampler-include-method=match_slash -sampler-include-method=new_vector -sampler-include-method=next_cmd_entry -sampler-include-method=open_next_file -sampler-include-method=output_line -sampler-include-method=process_files -sampler-include-method=re_match_2_internal -sampler-include-method=re_search -sampler-include-method=re_search_2 -sampler-include-method=read_mem_line -sampler-include-method=read_pattern_space -sampler-include-method=regcomp -sampler-include-method=regex_compile -sampler-include-method=regnexec -sampler-include-method=resize_line -sampler-include-method=savchar -sampler-include-method=str_append -sampler-include-method=unmap_file
sed,3_5,10,prune.preprocess.size,1571352
sed,3_5,10,prune.preprocess.time,21242
sed,3_5,10,prune.preprocess.number,6673 
sed,3_5,10,prune.preprocess.time_p,21064.0
sed,3_5,10,prune.mine.size,5948
sed,3_5,10,prune.mine.time,13052
sed,3_5,10,boost.profile.time,3428
sed,3_5,10,boost.profile.size,6324
sed,3_5,10,boost.profile.number,15806
sed,3_5,10,prune-minus-boost.profile.time,28881
sed,3_5,10,prune-minus-boost.profile.size,133456
sed,3_5,10,prune-minus-boost.profile.number,360916
sed,3_5,10,end
