grep,1_3,5,start
grep,1_3,5,fine-grained.preprocess.size,2349608
grep,1_3,5,fine-grained.preprocess.time,145149
grep,1_3,5,fine-grained.preprocess.number,16778 
grep,1_3,5,fine-grained.preprocess.time_p,144912.0
grep,1_3,5,fine-grained.mine.size,5848
grep,1_3,5,fine-grained.mine.time,407793
grep,1_3,5,boost,0.05
grep,1_3,5,boost.functions.count,4 /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/grep/versions/v1/subv3/predicate-dataset/boost/boost_functions_2_0.05.txt
grep,1_3,5,prune-minus-boost.includes,-sampler-include-method=build_state -sampler-include-method=build_state_zero -sampler-include-method=dfaexec -sampler-include-method=dfastate
grep,1_3,5,boost.preprocess.size,1143588
grep,1_3,5,boost.preprocess.time,4312
grep,1_3,5,boost.preprocess.number,3088 
grep,1_3,5,boost.preprocess.time_p,4143.0
grep,1_3,5,boost.mine.size,5880
grep,1_3,5,boost.mine.time,3064
grep,1_3,5,theta,0.674643
grep,1_3,5,prune.functions.count,46 /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/grep/versions/v1/subv3/predicate-dataset/prune/prune_functions_2_0.05.txt
grep,1_3,5,prune-minus-boost.includes,-sampler-include-method=EGexecute -sampler-include-method=addlists -sampler-include-method=addtok -sampler-include-method=atom -sampler-include-method=branch -sampler-include-method=build_state -sampler-include-method=build_state_zero -sampler-include-method=closure -sampler-include-method=copy -sampler-include-method=copyset -sampler-include-method=dfaanalyze -sampler-include-method=dfacomp -sampler-include-method=dfaexec -sampler-include-method=dfainit -sampler-include-method=dfamust -sampler-include-method=dfaparse -sampler-include-method=dfastate -sampler-include-method=dfasyntax -sampler-include-method=enlist -sampler-include-method=epsclosure -sampler-include-method=fillbuf -sampler-include-method=freelist -sampler-include-method=grep -sampler-include-method=grepbuf -sampler-include-method=icatalloc -sampler-include-method=icpyalloc -sampler-include-method=ifree -sampler-include-method=init_syntax_once -sampler-include-method=insert -sampler-include-method=istrstr -sampler-include-method=kwsmusts -sampler-include-method=lex -sampler-include-method=main -sampler-include-method=merge -sampler-include-method=re_compile_pattern -sampler-include-method=re_set_syntax -sampler-include-method=regex_compile -sampler-include-method=regexp -sampler-include-method=reset -sampler-include-method=setmatcher -sampler-include-method=state_index -sampler-include-method=xcalloc -sampler-include-method=xmalloc -sampler-include-method=xmalloc_1 -sampler-include-method=xrealloc_1 -sampler-include-method=zeroset
grep,1_3,5,prune.preprocess.size,1894636
grep,1_3,5,prune.preprocess.time,77842
grep,1_3,5,prune.preprocess.number,13669 
grep,1_3,5,prune.preprocess.time_p,77625.0
grep,1_3,5,prune.mine.size,5828
grep,1_3,5,prune.mine.time,199679
grep,1_3,5,boost.profile.time,43041
grep,1_3,5,boost.profile.size,51252
grep,1_3,5,boost.profile.number,58328
grep,1_3,5,prune-minus-boost.profile.time,58793
grep,1_3,5,prune-minus-boost.profile.size,370260
grep,1_3,5,prune-minus-boost.profile.number,456496
grep,1_3,5,end
