# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v1/subv1/boost/output.sites
nanoxml,1_1,10,boost.profile.number,232
nanoxml,1_1,10,prune.profile.time,764914
nanoxml,1_1,10,prune.profile.size,439
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v1/subv1/prune/output.sites
nanoxml,1_1,10,prune.profile.number,1060
nanoxml,1_1,10,prune-minus-boost.profile.time,744183
nanoxml,1_1,10,prune-minus-boost.profile.size,364
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/nanoxml/versions/v1/subv1/prune-minus-boost/output.sites
nanoxml,1_1,10,prune-minus-boost.profile.number,828
nanoxml,1_1,10,end
