gzip,2_1,5,start
gzip,2_1,5,fine-grained.preprocess.size,2722088
gzip,2_1,5,fine-grained.preprocess.time,87563
gzip,2_1,5,fine-grained.preprocess.number,27437 
gzip,2_1,5,fine-grained.preprocess.time_p,87285.0
gzip,2_1,5,fine-grained.mine.size,5824
gzip,2_1,5,fine-grained.mine.time,155287
gzip,2_1,5,boost,0.05
gzip,2_1,5,boost.functions.count,5
gzip,2_1,5,boost.includes,-sampler-include-method=ct_tally -sampler-include-method=fill_window -sampler-include-method=longest_match -sampler-include-method=send_all_trees -sampler-include-method=send_tree
gzip,2_1,5,boost.preprocess.size,1112004
gzip,2_1,5,boost.preprocess.time,4500
gzip,2_1,5,boost.preprocess.number,5331 
gzip,2_1,5,boost.preprocess.time_p,4332.0
gzip,2_1,5,boost.mine.size,5784
gzip,2_1,5,boost.mine.time,1549
gzip,2_1,5,theta,0.658318
gzip,2_1,5,prune.functions.count,33
gzip,2_1,5,prune.includes,-sampler-include-method=_getopt_internal -sampler-include-method=add_envopt -sampler-include-method=basename -sampler-include-method=bi_init -sampler-include-method=bi_reverse -sampler-include-method=bi_windup -sampler-include-method=build_bl_tree -sampler-include-method=build_tree -sampler-include-method=clear_bufs -sampler-include-method=compress_block -sampler-include-method=ct_init -sampler-include-method=ct_tally -sampler-include-method=deflate -sampler-include-method=do_exit -sampler-include-method=file_read -sampler-include-method=fill_window -sampler-include-method=flush_block -sampler-include-method=flush_outbuf -sampler-include-method=gen_bitlen -sampler-include-method=gen_codes -sampler-include-method=getopt_long -sampler-include-method=init_block -sampler-include-method=lm_init -sampler-include-method=longest_match -sampler-include-method=main -sampler-include-method=pqdownheap -sampler-include-method=scan_tree -sampler-include-method=send_all_trees -sampler-include-method=send_bits -sampler-include-method=send_tree -sampler-include-method=updcrc -sampler-include-method=write_buf -sampler-include-method=zip
gzip,2_1,5,prune.preprocess.size,1772908
gzip,2_1,5,prune.preprocess.time,45222
gzip,2_1,5,prune.preprocess.number,22255 
gzip,2_1,5,prune.preprocess.time_p,44991.0
gzip,2_1,5,prune.mine.size,5836
gzip,2_1,5,prune.mine.time,115606
gzip,2_1,5,boost.profile.time,204490
gzip,2_1,5,boost.profile.size,59196
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v2/subv1/v2_subv1_b.sites
gzip,2_1,5,boost.profile.number,233158
gzip,2_1,5,prune-minus-boost.profile.time,164652
gzip,2_1,5,prune-minus-boost.profile.size,286628
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/gzip/versions/v2/subv1/v2_subv1_pmb.sites
gzip,2_1,5,prune-minus-boost.profile.number,1254434
gzip,2_1,5,end
