siena,1_2,10,start
siena,1_2,10,fine-grained.preprocess.size,315988
siena,1_2,10,fine-grained.preprocess.time,1308
siena,1_2,10,fine-grained.preprocess.number,55 
siena,1_2,10,fine-grained.preprocess.time_p,1184.0
siena,1_2,10,fine-grained.mine.size,5816
siena,1_2,10,fine-grained.mine.time,1631
siena,1_2,10,boost,0.05
siena,1_2,10,boost.functions.count,18
siena,1_2,10,boost.includes,-sampler-include-method=-siena.AttributeConstraint--int-hashCode--- -sampler-include-method=-siena.AttributeValue--double-doubleValue--- -sampler-include-method=-siena.AttributeValue--void--init--siena.AttributeValue-- -sampler-include-method=-siena.ByteBuf--byte[]-bytes--- -sampler-include-method=-siena.ByteBuf--void-append-byte-- -sampler-include-method=-siena.ByteBuf--void-append-byte[]-- -sampler-include-method=-siena.Filter--void-addConstraint-java.lang.String,siena.AttributeConstraint-- -sampler-include-method=-siena.OpTest--void-main-java.lang.String[]-- -sampler-include-method=-siena.SENP--boolean-match-byte[],byte[]-- -sampler-include-method=-siena.SENP--siena.AttributeConstraint-readAttributeConstraint-siena.Tokenizer-- -sampler-include-method=-siena.SENP--siena.AttributeValue-readAttribute-siena.Tokenizer-- -sampler-include-method=-siena.SENP--siena.ByteBuf-encode-siena.ByteBuf,siena.AttributeConstraint-- -sampler-include-method=-siena.SENP--siena.ByteBuf-encode-siena.ByteBuf,siena.AttributeValue-- -sampler-include-method=-siena.Tokenizer--boolean-isCurrentFirstIdentChar--- -sampler-include-method=-siena.Tokenizer--double-read_decimal--- -sampler-include-method=-siena.Tokenizer--int-currByte--- -sampler-include-method=-siena.Tokenizer--int-nextByte--- -sampler-include-method=-siena.Tokenizer--int-read_id---
siena,1_2,10,boost.preprocess.size,102084
siena,1_2,10,boost.preprocess.time,503
siena,1_2,10,boost.preprocess.number,21 
siena,1_2,10,boost.preprocess.time_p,396.0
siena,1_2,10,boost.mine.size,5888
siena,1_2,10,boost.mine.time,3377
siena,1_2,10,theta,0.088326
siena,1_2,10,prune.functions.count,37
siena,1_2,10,prune.includes,-sampler-include-method=-siena.AttributeConstraint--int-hashCode--- -sampler-include-method=-siena.AttributeValue--double-doubleValue--- -sampler-include-method=-siena.AttributeValue--int-intValue--- -sampler-include-method=-siena.AttributeValue--void--init--siena.AttributeValue-- -sampler-include-method=-siena.ByteBuf--byte[]-bytes--- -sampler-include-method=-siena.ByteBuf--void-append-byte-- -sampler-include-method=-siena.ByteBuf--void-append-byte[]-- -sampler-include-method=-siena.ByteBuf--void-append-int-- -sampler-include-method=-siena.Filter--void-addConstraint-java.lang.String,siena.AttributeConstraint-- -sampler-include-method=-siena.HierarchicalDispatcher--void--init---- -sampler-include-method=-siena.HierarchicalDispatcher--void-disconnectMaster--- -sampler-include-method=-siena.HierarchicalDispatcher--void-run--- -sampler-include-method=-siena.HierarchicalDispatcher--void-setListener-int-- -sampler-include-method=-siena.HierarchicalDispatcher--void-setMaster-java.lang.String-- -sampler-include-method=-siena.OpTest--void-main-java.lang.String[]-- -sampler-include-method=-siena.PacketHandlerFactory--siena.PacketHandler-getHandler-java.lang.String-- -sampler-include-method=-siena.Poset--boolean-empty--- -sampler-include-method=-siena.SENP--boolean-match-byte[],byte[]-- -sampler-include-method=-siena.SENP--siena.AttributeConstraint-readAttributeConstraint-siena.Tokenizer-- -sampler-include-method=-siena.SENP--siena.AttributeValue-readAttribute-siena.Tokenizer-- -sampler-include-method=-siena.SENP--siena.ByteBuf-encode-siena.ByteBuf,byte[]-- -sampler-include-method=-siena.SENP--siena.ByteBuf-encode-siena.ByteBuf,siena.AttributeConstraint-- -sampler-include-method=-siena.SENP--siena.ByteBuf-encode-siena.ByteBuf,siena.AttributeValue-- -sampler-include-method=-siena.SENP--siena.ByteBuf-encode_decimal-siena.ByteBuf,long-- -sampler-include-method=-siena.SENP--siena.SENPPacket-decode-byte[]-- -sampler-include-method=-siena.SienaId--java.lang.String-getId--- -sampler-include-method=-siena.StartServer--void-main-java.lang.String[]-- -sampler-include-method=-siena.TCPPacketHandler--void--init--java.lang.String-- -sampler-include-method=-siena.Tokenizer--boolean-isCurrentFirstIdentChar--- -sampler-include-method=-siena.Tokenizer--double-read_decimal--- -sampler-include-method=-siena.Tokenizer--int-currByte--- -sampler-include-method=-siena.Tokenizer--int-nextByte--- -sampler-include-method=-siena.Tokenizer--int-nextToken--- -sampler-include-method=-siena.Tokenizer--int-read_id--- -sampler-include-method=-siena.Tokenizer--int-read_int--- -sampler-include-method=-siena.Tokenizer--int-read_number--- -sampler-include-method=-siena.Tokenizer--int-read_string---
siena,1_2,10,prune.functions.count,19
siena,1_2,10,prune.preprocess.size,166776
siena,1_2,10,prune.preprocess.time,839
siena,1_2,10,prune.preprocess.number,55 
siena,1_2,10,prune.preprocess.time_p,689.0
siena,1_2,10,prune.mine.size,5840
siena,1_2,10,prune.mine.time,1894
siena,1_2,10,boost.profile.time,854665
siena,1_2,10,boost.profile.size,876
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/siena/versions/v1/subv2/boost/output.sites
siena,1_2,10,boost.profile.number,1076
siena,1_2,10,prune.profile.time,855191
siena,1_2,10,prune.profile.size,4098
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/siena/versions/v1/subv2/prune/output.sites
siena,1_2,10,prune.profile.number,6608
siena,1_2,10,prune-minus-boost.profile.time,854733
siena,1_2,10,prune-minus-boost.profile.size,3402
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/siena/versions/v1/subv2/prune-minus-boost/output.sites
siena,1_2,10,prune-minus-boost.profile.number,5532
siena,1_2,10,end
