derby,5_61,5,start
derby,5_61,5,fine-grained.preprocess.size,1753992
derby,5_61,5,fine-grained.preprocess.time,25565
derby,5_61,5,fine-grained.preprocess.number,121 
derby,5_61,5,fine-grained.preprocess.time_p,25321.0
derby,5_61,5,fine-grained.mine.size,5844
derby,5_61,5,fine-grained.mine.time,1399
derby,5_61,5,boost,0.05
derby,5_61,5,boost.functions.count,30
derby,5_61,5,boost.includes,-sampler-include-method=-org.apache.derbyTesting.functionTests.harness.CopySuppFiles--void-copyFiles-java.io.File,java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.CurrentTime--java.lang.String-getTime--- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.JavaVersionHolder--boolean-atLeast-int,int-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.JavaVersionHolder--void--init--java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.NetServer--boolean-isClientConnection-java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.NetServer--boolean-isDB2Connection-java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.NetServer--boolean-isJCCConnection-java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.NetServer--java.lang.String-alterURL-java.lang.String,java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.NetServer--java.lang.String-getDriverName-java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunList--boolean-isClientExclusionKeyword-java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunList--boolean-versionExcluded-int[],int,int[],int,int,int-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunList--int-getVersionCompareType-java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunList--int[]-getVersionArray-java.lang.String,int-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunList--void-checkClientExclusion-java.lang.String,java.lang.String,int,int,java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--boolean-verifyFramework-java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--java.lang.String-createPropString--- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--org.apache.derbyTesting.functionTests.harness.JavaVersionHolder-getProperties-java.util.Properties-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-cleanupBaseDir-java.io.File-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-doCleanup-java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-encryptionProtocol-java.util.Properties-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-frameworkProtocol-java.util.Properties-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-main-java.lang.String[]-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-mergeProps-java.util.Properties,java.util.Properties-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-setDirectories-java.lang.String,java.util.Properties-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-testRun-java.lang.String,java.util.Properties-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.RunTest--void-verifyTestType--- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.SkipTest--boolean-skipIt-java.lang.String,java.lang.String-- -sampler-include-method=-org.apache.derbyTesting.functionTests.harness.SpecialFlags--void-parse-java.lang.String,java.util.Properties,java.util.Properties-- -sampler-include-method=-org.apache.derbyTesting.functionTests.util.TestUtil--java.lang.String-getHostName--- -sampler-include-method=-org.apache.derbyTesting.functionTests.util.TestUtil--void--clinit----
derby,5_61,5,boost.preprocess.size,162204
derby,5_61,5,boost.preprocess.time,678
derby,5_61,5,boost.preprocess.number,121 
derby,5_61,5,boost.preprocess.time_p,531.0
derby,5_61,5,boost.mine.size,5860
derby,5_61,5,boost.mine.time,1581
derby,5_61,5,theta,0.033391
derby,5_61,5,prune.functions.count,25
