bash,1_2,10,start
bash,1_2,10,prune.includes,-sampler-include-method=_print_word_list -sampler-include-method=absolute_pathname -sampler-include-method=add_hash_item -sampler-include-method=add_unwind_protect_internal -sampler-include-method=adjust_shell_level -sampler-include-method=allocate_buffers -sampler-include-method=array_add_element -sampler-include-method=assignment -sampler-include-method=b_fill_buffer -sampler-include-method=base_pathname -sampler-include-method=bash_history_disable -sampler-include-method=bash_history_reinit -sampler-include-method=bind_args -sampler-include-method=bind_lastarg -sampler-include-method=bind_variable -sampler-include-method=buffered_getchar -sampler-include-method=builtin_address_internal -sampler-include-method=change_flag -sampler-include-method=check_binary_file -sampler-include-method=check_dev_tty -sampler-include-method=clean_simple_command -sampler-include-method=cleanup_dead_jobs -sampler-include-method=copy_word -sampler-include-method=copy_word_list -sampler-include-method=cprintf -sampler-include-method=dequote_list -sampler-include-method=dequote_string -sampler-include-method=discard_unwind_frame -sampler-include-method=dispose_command -sampler-include-method=dispose_exec_redirects -sampler-include-method=dispose_fd_bitmap -sampler-include-method=dispose_redirects -sampler-include-method=dispose_temporary_vars -sampler-include-method=dispose_word -sampler-include-method=dispose_words -sampler-include-method=do_redirections -sampler-include-method=echo_builtin -sampler-include-method=end_job_control -sampler-include-method=evalerror -sampler-include-method=evalexp -sampler-include-method=execute_builtin -sampler-include-method=execute_builtin_or_function -sampler-include-method=execute_command -sampler-include-method=execute_command_internal -sampler-include-method=execute_env_file -sampler-include-method=execute_simple_command -sampler-include-method=exit_shell -sampler-include-method=exp0 -sampler-include-method=exp1 -sampler-include-method=exp2 -sampler-include-method=exp3 -sampler-include-method=exp4 -sampler-include-method=exp5 -sampler-include-method=expand_word_internal -sampler-include-method=expand_word_list_internal -sampler-include-method=expand_words -sampler-include-method=expassign -sampler-include-method=expband -sampler-include-method=expbor -sampler-include-method=expbxor -sampler-include-method=expcond -sampler-include-method=expland -sampler-include-method=explor -sampler-include-method=expshift -sampler-include-method=extract_command_subst -sampler-include-method=extract_delimited_string -sampler-include-method=fd_to_buffered_stream -sampler-include-method=find_flag -sampler-include-method=find_function -sampler-include-method=find_hash_item -sampler-include-method=find_shell_builtin -sampler-include-method=find_tempenv_variable -sampler-include-method=find_variable -sampler-include-method=find_variable_internal -sampler-include-method=fix_assignment_words -sampler-include-method=free -sampler-include-method=free_array -sampler-include-method=get_bash_name -sampler-include-method=get_edit_mode -sampler-include-method=get_lim_data -sampler-include-method=get_name_for_error -sampler-include-method=get_string_value -sampler-include-method=getenv -sampler-include-method=getopts_reset -sampler-include-method=getpool -sampler-include-method=handle_eof_input_unit -sampler-include-method=hash_string -sampler-include-method=init_noninteractive -sampler-include-method=init_yy_io -sampler-include-method=initialize_bash_input -sampler-include-method=initialize_dynamic_variables -sampler-include-method=initialize_hash_table -sampler-include-method=initialize_job_control -sampler-include-method=initialize_job_signals -sampler-include-method=initialize_shell_options -sampler-include-method=initialize_shell_signals -sampler-include-method=initialize_shell_variables -sampler-include-method=initialize_traps -sampler-include-method=internal_error -sampler-include-method=itos -sampler-include-method=list_append -sampler-include-method=list_length -sampler-include-method=list_string -sampler-include-method=main -sampler-include-method=make_bare_simple_command -sampler-include-method=make_bare_word -sampler-include-method=make_buffered_stream -sampler-include-method=make_hash_table -sampler-include-method=make_new_array_variable -sampler-include-method=make_new_variable -sampler-include-method=make_quoted_char -sampler-include-method=make_simple_command -sampler-include-method=make_variable_value -sampler-include-method=make_vers_array -sampler-include-method=make_word -sampler-include-method=make_word_flags -sampler-include-method=make_word_list -sampler-include-method=makunbound -sampler-include-method=malloc -sampler-include-method=maybe_expand_string -sampler-include-method=maybe_make_restricted -sampler-include-method=morecore -sampler-include-method=new_array -sampler-include-method=new_array_element -sampler-include-method=new_fd_bitmap -sampler-include-method=notify_and_cleanup -sampler-include-method=notify_of_job_status -sampler-include-method=open_shell_script -sampler-include-method=parse_and_execute -sampler-include-method=parse_command -sampler-include-method=parse_long_options -sampler-include-method=parse_matched_pair -sampler-include-method=parse_shell_options -sampler-include-method=parser_error -sampler-include-method=pop_stream -sampler-include-method=print_simple_command -sampler-include-method=push_stream -sampler-include-method=pushexp -sampler-include-method=read_command -sampler-include-method=read_token -sampler-include-method=read_token_word -sampler-include-method=reader_loop -sampler-include-method=readtok -sampler-include-method=remove_hash_item -sampler-include-method=remove_quoted_nulls -sampler-include-method=report_error -sampler-include-method=report_syntax_error -sampler-include-method=reserved_word_acceptable -sampler-include-method=reset_parser -sampler-include-method=restore_variable -sampler-include-method=reverse_list -sampler-include-method=run_pending_traps -sampler-include-method=run_startup_files -sampler-include-method=run_unwind_frame -sampler-include-method=same_file -sampler-include-method=sbrand -sampler-include-method=separate_out_assignments -sampler-include-method=set_bash_input -sampler-include-method=set_default_locale -sampler-include-method=set_default_locale_vars -sampler-include-method=set_if_not -sampler-include-method=set_job_control -sampler-include-method=set_shell_name -sampler-include-method=set_shell_var -sampler-include-method=set_shellopts -sampler-include-method=set_signal_handler -sampler-include-method=set_working_directory -sampler-include-method=shell_builtin_compare -sampler-include-method=shell_getc -sampler-include-method=shell_initialize -sampler-include-method=shell_ungetc -sampler-include-method=shell_version_string -sampler-include-method=special_case_tokens -sampler-include-method=string_extract_verbatim -sampler-include-method=sub_append_string -sampler-include-method=subexpr -sampler-include-method=substring -sampler-include-method=the_printed_command_resize -sampler-include-method=tilde_initialize -sampler-include-method=uidget -sampler-include-method=uidset -sampler-include-method=unlink_fifo_list -sampler-include-method=unquoted_glob_pattern_p -sampler-include-method=unset_nodelay_mode -sampler-include-method=unwind_frame_discard_internal -sampler-include-method=unwind_frame_run_internal -sampler-include-method=unwind_protect_var -sampler-include-method=var_lookup -sampler-include-method=with_input_from_buffered_stream -sampler-include-method=without_interrupts -sampler-include-method=word_list_remove_quoted_nulls -sampler-include-method=word_list_split -sampler-include-method=word_split -sampler-include-method=xbcopy -sampler-include-method=xfree -sampler-include-method=xmalloc -sampler-include-method=xrealloc -sampler-include-method=yy_getc -sampler-include-method=yy_string_get -sampler-include-method=yydestruct -sampler-include-method=yylex -sampler-include-method=yyparse -sampler-include-method=zmemset
bash,1_2,10,prune.preprocess.size,1836532
bash,1_2,10,prune.preprocess.time,45165
bash,1_2,10,prune.preprocess.number,7210 
bash,1_2,10,prune.preprocess.time_p,44962.0
bash,1_2,10,prune.mine.size,5832
bash,1_2,10,prune.mine.time,13924
bash,1_2,10,boost.profile.time,117235
bash,1_2,10,boost.profile.size,40880
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/bash/versions/v1/subv2/v1_subv2_b.sites
bash,1_2,10,boost.profile.number,128606
bash,1_2,10,prune-minus-boost.profile.time,151214
bash,1_2,10,prune-minus-boost.profile.size,311732
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/bash/versions/v1/subv2/v1_subv2_pmb.sites
bash,1_2,10,prune-minus-boost.profile.number,1018944
bash,1_2,10,end
